"","ï..544988"
"1214",0
"1215",1596073
"1216",371020
"1217",1169233
"1218",20130275
"1219",3945045
"1220",3910399
"1221",14189
"1222",7424469
"1223",3924969
"1224",12972833
"1225",668969
"1226",3975555
"1227",2598896
"1228",2589354
"1229",1168823
"1230",3687278
"1231",8189745
"1232",7964140
"1233",10495011
"1234",2820
"1235",2683047
"1236",6599681
"1237",4501680
"1238",2834
"1239",2618396
"1240",59445
"1241",839563
"1242",58988
"1243",165364
"1244",159137
"1245",6098558
"1246",158309
"1247",10400166
"1248",8530032
"1249",6324
"1250",98261
"1251",1609013
"1252",135179
"1253",10949
"1254",5057402
"1255",40510
"1256",102630
"1257",17259012
"1258",2608912
"1259",2594129
"1260",10433329
"1261",319595
"1262",42548
"1263",12194526
"1264",38248
"1265",2596793
"1266",9995
"1267",2610399
"1268",2587323
"1269",2254699
"1270",365974
"1271",2448461
"1272",91770
"1273",7651107
"1274",1105209
"1275",35324
"1276",3073122
"1277",3817016
"1278",2591781
"1279",2587747
"1280",531141
"1281",736
"1282",2597949
"1283",2463
"1284",5209128
"1285",2593738
"1286",9331502
"1287",1452574
"1288",3930227
"1289",2619184
"1290",11817539
"1291",3371015
"1292",15093856
"1293",217865
"1294",2549816
"1295",3147874
"1296",13290
"1297",2444640
"1298",56041
"1299",11578
"1300",2553307
"1301",2641590
"1302",1339548
"1303",1803505
"1304",5229854
"1305",2554234
"1306",7893237
"1307",15721014
"1308",10903031
"1309",2474
"1310",12201
"1311",1279054
"1312",5216992
"1313",19928
"1314",2641400
"1315",1051260
"1316",10253
"1317",240101
"1318",280800
"1319",21586916
"1320",167681
"1321",13548337
"1322",4426138
"1323",2046566
"1324",3177870
"1325",1732688
"1326",2872015
"1327",5090327
"1328",2684367
"1329",2700517
"1330",2668200
"1331",2570385
"1332",4166
"1333",684449
"1334",2032202
"1335",2736412
"1336",4483
"1337",4234
"1338",2666553
"1339",2623888
"1340",4126344
"1341",92233
"1342",63339
"1343",2144856
"1344",6335194
"1345",4191223
"1346",119543
"1347",4674261
"1348",4812222
"1349",2623387
"1350",2566642
"1351",577645
"1352",3485
"1353",3725197
"1354",8231918
"1355",2627604
"1356",5414196
"1357",5217615
"1358",2601319
"1359",28963
"1360",2586408
"1361",2569507
"1362",5296082
"1363",5237353
"1364",5210711
"1365",15749563
"1366",10741642
"1367",5275023
"1368",4570299
"1369",652712
"1370",5170252
"1371",2035
"1372",5237303
"1373",15815209
"1374",5590
"1375",4177
"1376",7750850
"1377",2592187
"1378",10447
"1379",2620843
"1380",303
"1381",7891
"1382",49402
"1383",44444
"1384",294739
"1385",17109
"1386",7017
"1387",16243
"1388",319711
"1389",247582
"1390",572583
"1391",20007
"1392",7957
"1393",6140
"1394",69073
"1395",233177
"1396",5364
"1397",10375
"1398",13682
"1399",6074
"1400",10899
"1401",7045
"1402",5837
"1403",6058
"1404",5482
"1405",5540
"1406",4241
"1407",334646
"1408",975942
"1409",4625
"1410",145691
"1411",90313
"1412",7654
"1413",7958
"1414",235348
"1415",416907
"1416",64122
"1417",15787
"1418",107637
"1419",11583
"1420",17589
"1421",6643
"1422",12096
"1423",35000
"1424",11772
"1425",11567
"1426",11667
"1427",16288
"1428",12096
"1429",248524
"1430",17998
"1431",13397
"1432",27042
"1433",12007
"1434",12331
"1435",15549
"1436",18286
"1437",18114
"1438",15602
"1439",14384
"1440",14573
"1441",16090
"1442",17333
"1443",19997
"1444",22438
"1445",17929
"1446",18692
"1447",6192
"1448",6172
"1449",6311
"1450",13130
"1451",13432
"1452",20818
"1453",27327
"1454",6173
"1455",6093
"1456",6124
"1457",6327
"1458",6156
"1459",6250
"1460",6321
"1461",6286
"1462",6347
"1463",6006
"1464",6226
"1465",12844
"1466",6247
"1467",7108
"1468",6877
"1469",6803
"1470",6570
"1471",15623
"1472",14870
"1473",6760
"1474",6835
"1475",6921
"1476",7417
"1477",6424
"1478",6167
"1479",6112
"1480",6212
"1481",6150
"1482",6066
"1483",6256
"1484",7123
"1485",6891
"1486",6213
"1487",6444
"1488",6344
"1489",5811
"1490",6089
"1491",12551
"1492",14819
"1493",6506
"1494",6530
"1495",12043
"1496",7042
"1497",13623
"1498",5821
"1499",116446
"1500",6148
"1501",6117
"1502",6172
"1503",7616
"1504",37516
"1505",6180
"1506",6285
"1507",6420
"1508",6432
"1509",7754
"1510",6238
"1511",6276
"1512",6396
"1513",9566
"1514",6370
"1515",6256
"1516",6188
"1517",273
"1518",35164
"1519",125310
"1520",19566
"1521",40002
"1522",19857
"1523",37955
"1524",7701
"1525",40198
"1526",31815
"1527",19316
"1528",3950
"1529",21769
"1530",97876
"1531",19867
"1532",21320
"1533",43183
"1534",4537
"1535",4523
"1536",15093
"1537",162800
"1538",29934
"1539",14884
"1540",34619
"1541",10982
"1542",24053
"1543",6768
"1544",65552
"1545",9077
"1546",9541
"1547",8998
"1548",9705
"1549",18720
"1550",18464
"1551",78527
"1552",10613
"1553",43395
"1554",11427
"1555",10785
"1556",10687
"1557",7781
"1558",6367
"1559",136505
"1560",6203
"1561",7792
"1562",7683
"1563",6171
"1564",6160
"1565",6126
"1566",19003
"1567",19068
"1568",24662
"1569",6655
"1570",6638
"1571",6733
"1572",6104
"1573",6339
"1574",6361
"1575",6210
